key,vi,en
openSettings,Mở cài đặt,Open settings
selectPhoto,Chọn ảnh,Select photo
homepage,Trang chủ,Homepage
childSafetyProtectionSystem,Hệ thống bảo vệ an toàn trẻ em,Safety for the children
appleLogin,Đăng nhập bằng ID Apple,Log in with Apple ID
googleLogin,Đăng nhập bằng Google,Log in with Google
facebookLogin,Đăng nhập bằng Facebook,Log in with Facebook
pleaseEnableGPS,Vui lòng bật định vị để tiếp tục trải nghiệm,Please enable geolocation to continue the experience
confirmLogout,Bạn có muốn đăng xuất không?,Do you want to log out?
phoneNumber,Số điện thoại,Phone number
dob,Ngày sinh,Date of birth
pleaseSelectDOB,Vui lòng chọn ngày sinh,Please select date of birth
locationDoesExist,Địa điểm đã tồn tại,Location does exist
addLocationSuccessfully,Thêm địa điểm thành công,Add location successfully
joinFamily,Gia nhập gia đình,Join family
joinFamilySuccessfully,Gửi yêu cầu gia nhập gia đình thành công,Submit request to join the family successfully
pleaseEnterInvitationCode,Vui lòng nhập mã mời,Please enter invitation code
enterInvitationCode,Nhập mã mời,Enter invitation code
invalidInvitationCode,Mã mời không hợp lệ,Invalid invitation code
waitingJoinFamily,Gia đình hiện tại đang chờ cho phép gia nhập,Family is currently waiting for permission to join
joinRequest,Yêu cầu tham gia,Join request
confirmRemoveMember,Bạn có muốn xóa thành viên?,Do you want to remove member?
updateProfileSuccessfully,Cập nhật thông tin thành công,Update profile successfully
notification,Thông báo,Notification
noNotification,Không có thông báo,No notification
loginFailed,Đăng nhập thất bại,Login failed
confirmRemoveLocation,Bạn có muốn xóa địa điểm này?,Do you want to remove this location?
locationList,Danh sách địa điểm,Location list
inviteMember,Mời thành viên,Invite member
addLocation,Thêm địa điểm,Add location
account,Tài khoản,Account
leaveFamily,Rời gia đình,Leave family
confirmRemoveJoinRequest,Bạn có muốn từ chối yêu cầu này?,Do you want to decline this request?
approve,Chấp thuận,Approve
familyProfile,Thông tin gia đình,Family profile
removeLocationSuccessfully,Xóa địa điểm thành công,Remove location successfully
familySettings,Cài đặt gia đình,Family settings
sendJoinRequestSuccessfully,Gửi yêu cầu tham gia thành công,Send join request successfully
confirmApproveRequest,Cho phép gia nhập gia đình?,Do you want to approve this request?
changeAvatar,Đổi ảnh đại diện,Change avatar
settings,Cài đặt,Settings
changeLanguage,Đổi ngôn ngữ,Change language
vietnamese,Tiếng Việt,Vietnamese
english,Tiếng Anh,English
confirmChangeLanguage,Bạn có muốn đổi ngôn ngữ?,Do you want to change language?
logout,Đăng xuất,Log out
member,Thành viên,Members
location,Địa điểm,Location
locations,Địa điểm,Locations
warning,Cảnh báo,Warning
yourWallet,Ví của bạn,Your wallet
useInvitationCodeBelow,Sử dụng mã mời dưới đây:,Use the invitation code below:
enterInvitationCode,Nhập mã mời,Enter invitation code
locationName,Tên địa điểm,Location name
address,Vị trí,Address
update,Cập nhật,Update
welcome,Xin chào,Welcome
warnings,Cảnh báo,Warnings
category,Danh mục,Category
safeArea,Bạn đang ở trong khu vực an toàn,You are in the safe zone
thereIs,Có,There is
thereAre,Có,There are
unsafeAreaNearby,khu vực không an toàn gần bạn,unsafe zone near you
unsafeAreasNearby,khu vực không an toàn gần bạn,unsafe zones near you
approveRequestSuccessfully,Duyệt yêu cầu thành công,Approve request successfully
confirmLeaveFamily,Bạn có muốn rời khỏi gia đình?,Do you want to leave family?
removeMemberSuccessfully,Xóa thành viên thành công,Remove member successfully
leaveFamilySuccessfully,Rời gia đình thành công,Leave family successfully
notInFamily,"Bạn đang chưa có gia đình. Tạo mới ngay?","You don't have a family. Create new now?"
parent,Phụ huynh,Parent
child,Trẻ em,Child
message,Tin nhắn,Message
newMessage,Tin nhắn mới,New message
online,Đang hoạt động,Online
list,Danh sách,List
history,Lịch sử,Histories
filter,Bộ lọc,Filter
selectDate,Chọn ngày,Select date
month,Tháng,Month
fromDate,Từ ngày,From date
toDate,Tới ngày,To date
startTime,Ngày bắt đầu,Start date
endTime,Ngày kết thúc,End date
suggestedBy,Được khuyến cáo bởi,Suggested by
selectChild,Chọn con,Select child
reset,Đặt lại,Reset
apply,Áp dụng,Apply
emptyHistory,Không có lịch sử,Empty history
routeSearch,Tìm kiếm lộ trình,Search route
enterDestination,Nhập điểm đến,Enter destination
destination,Điểm đến,Destination
latestPosition,Vị trí gần đây,Latest position
yourChildEnterWarningLocation,Con của bạn đã vào khu vực cảnh báo,Your child has entered the warning area
distance,Khoảng cách,Distance
map,Bản đồ,Map
youAlreadyInFamily,Bạn đã gia nhập một gia đình rồi,You already joined a family
waitForApproval,Vui lòng chờ đợi để được duyệt,Please wait for approval
sending,Đang gửi,Sending
rejectRequestSuccessfully,Từ chối yêu cầu thành công,Rejected request successfully
sendRequestNote,"Lưu ý: khi gửi yêu cầu đến gia đình khác, bạn sẽ phải rời khỏi gia đình hiện tại của mình.","Note: when you send a request to another family, you'll have to leave your current family."
joinedWarning,"Bạn đã ở trong một gia đình. Vui lòng rời khỏi trước khi gửi yêu cầu gia nhập khác.","You were in a family. Please leave before submitting another join request."
downgradeToChildConfirm,Bạn có muốn điều chỉnh vai trò thành con cái?,Do you want to adjust roles to children?
upgradeToParentConfirm,Bạn có muốn điều chỉnh vai trò thành cha mẹ?,Do you want to adjust roles to parent?
adjustSuccessfully,Điều chỉnh thành công,Adjusted successfully
permissionChanged,"Quyền hạn đã bị thay đổi, vui lòng thử lại sau.","Permissions have been changed, please try again later."
leaveFamilyFailed,"Rời gia đình thất bại. Vui lòng chuyển quyền cho một người khác trước khi rời gia đình.","Leaving the family failed. Please transfer permissions to someone else before leaving the family."
youEnterWarningLocation,Bạn đã vào khu vực cảnh báo,You have entered the warning area
